species,fam.gen.spe,mean.Topt,mean.Popt,mean.Tomeg,mean.Topt2,mean.Popt2,mean.Tmax,tcrit,t50,t100
Acoelorrhaphe wrightii,arecaceae/acoelorrhaphe/acoelorrhaphe_wrightii,33.76228876,9.859588841,10.51186402,32.86884613,9.901373582,45.92501022,45.27,54.03,61.61
Adenocalymma comosum,bignoniaceae/adenocalymma/adenocalymma_comosum,32.43239744,13.09348022,10.5192315,32.86307704,13.41356902,43.95037084,42.38,51.45,59.01
Alpinia sp,zingiberaceae/alpinia/alpinia_sp,29.63087262,14.17325985,10.41066219,30.1923718,13.97518307,48.02296868,43.95,53.63,62.07
Brosimum alicastrum,moraceae/brosimum/brosimum_alicastrum,32.67737973,14.69605812,9.597090396,32.91366448,14.20391113,42.96175964,42.03,53.02,62.54
Brunfelsia lactea,solanaceae/brunfelsia/brunfelsia_lactea,33.35517589,15.86338711,7.887195222,32.97873876,15.66896609,42.00106099,41.04,51.44,60.19
Cocculus laurifolius,menispermaceae/cocculus/cocculus_laurifolius,34.27139332,10.58957914,9.863914093,34.51862026,10.39375279,46.89359466,45.76,50.94,55.2
Combretum rotundifolium,combretaceae/combretum/combretum_rotundifolium,32.25380018,11.94868107,6.960493057,33.26217411,11.65392367,42.90648317,42.54,52.62,61.25
Cordia lutea,boraginaceae/cordia/cordia_lutea,32.06893633,18.90607008,9.870128704,32.1559373,20.64146082,44.34636749,45.22,49,51.88
Cynophalla flexuosa,capparaceae/cynophalla/cynophalla_flexuosa,33.94484823,13.03375896,9.233782882,34.18842877,12.71813621,45.23769347,42.76,52.29,60.39
Encephalartos gratus,zamiaceae/encephalartos/encephalartos_gratus,32.81957993,11.65260655,8.486233236,33.57578743,11.86306038,44.94195796,45.64,51.95,57.22
Gardenia taitensis,rubiaceae/gardenia/gardenia_taitensis,32.89833374,15.31348896,10.17164009,34.89188437,14.84156979,45.89330715,42.71,50.94,57.83
Hamelia patens,rubiaceae/hamelia/hamelia_patens,32.97092462,17.67255179,18.06593656,27.96796667,15.89520616,43.87022003,44.9,52.04,58.12
Hibiscus rosa-sinensis,malvaceae/hibiscus/hibiscus_rosa-sinensis,29.14397557,13.38740414,15.02117008,29.01044459,13.82668751,44.0150089,41.67,50.57,58
Holmskioldia sanguinea,lamiaceae/holmskioldia/holmskioldia_sanguinea,34.31171388,19.61855346,4.72001409,33.18863818,19.06354501,40.64447956,44.61,49.1,52.61
Jasminum sambac,oleaceae/jasminum/jasminum_sambac,30.74495903,12.31808682,20.75026814,27.77207027,12.17437532,45.28210982,43.53,54.38,63.79
Napoleonaea imperialis,lecythidaceae/napoleonaea/napoleonaea_imperialis,31.85963275,9.938056452,1.807289329,31.08344602,9.358365259,41.79178494,43.72,49.86,54.89
Phaleria macrocarpa,thymelaeaceae/phaleria/phaleria_macrocarpa,29.88174954,11.38239024,18.71640178,26.17708824,11.49397222,45.49548522,38.82,52.22,63.6
Phytolacca dioica,phytolaccaceae/phytolacca/phytolacca_dioica,31.61917576,20.22305454,8.956013984,32.08871498,19.86424008,44.52852359,41.13,50.1,57.58
Plumeria obtusa,apocynaceae/plumeria/plumeria_obtusa,29.24751037,20.87997789,11.6433501,29.80024244,21.35622268,43.58153581,46.24,53.66,59.87
Strelitzia reginae,strelitziaceae/strelitzia/strelitzia_reginae,33.40713213,14.58434853,8.047366898,33.10950365,13.73566059,43.69776849,46.32,51.78,56.66
Trema micrantha,cannabaceae/trema/trema_micrantha,32.32629343,24.84478477,15.97294487,32.5138052,24.79611956,49.98141501,41.12,50.54,58.5